productsCount,orderPrice,buyer,buyerCity,orderStatus,shippingPrice,orderDate,orderTime,type,buyerSatisfaction
1,5.99,Jolanta Jolantaitė,Utena,naujas,9.99,2022-11-22,13:42,internetu,5
2,14.98,Jonas Jonaitis,Druskininkai,pristatytas,2.99,2017-04-26,15:40,internetu,5
1,29.99,Jolanta Jolantaitė,Širvintos,pristatytas,0.00,2021-06-26,9:43,parduotuvėje,5
5,64.95,Antanas Antanaitis,Panevėžys,patvirtintas,9.99,2021-09-05,12:49,parduotuvėje,4
2,44.98,Elžbieta Elžbietaitė,Zarasai,patvirtintas,19.99,2018-12-10,15:1,internetu,3
1,14.99,Vaida Vaidaitė,Zarasai,patvirtintas,2.99,2022-01-03,15:24,internetu,5
4,35.96,Rasa Rasaitė,Kėdainiai,išsiųstas,19.99,2019-06-18,15:18,internetu,2
5,150.95,Aurimas Aurimaitė,Mažeikiai,pristatytas,2.99,2017-07-08,15:5,internetu,2
4,29.96,Jonas Jonaitis,Zarasai,pristatytas,2.99,2022-07-31,10:12,internetu,5
2,13.98,Vytautas Vytenis,Zarasai,pristatytas,2.99,2016-11-03,14:26,internetu,2
3,29.97,Jolanta Jolantaitė,Pabradė,pristatytas,19.99,2020-10-21,12:43,internetu,4
6,102.94,Marius Marius,Kaunas,pristatytas,2.99,2024-03-16,8:6,internetu,2
5,99.95,Jolanta Jolantaitė,Klaipėda,pristatytas,2.99,2022-05-24,12:24,internetu,4
2,15.98,Viktorija Viktorienė,Kėdainiai,pristatytas,0.00,2020-09-06,13:8,internetu,2
3,30.97,Jurgis Jurgis,Kybartai,pristatytas,2.99,2017-09-02,10:37,parduotuvėje,4
5,75.95,Marius Marius,Kėdainiai,pristatytas,0.00,2019-01-07,9:32,parduotuvėje,3
2,14.98,Gintautas Gintautas,Mažeikiai,pristatytas,2.99,2015-10-19,9:38,internetu,4
5,67.95,Dalia Dalinskaitė,Mažeikiai,pristatytas,2.99,2021-02-23,10:26,parduotuvėje,2
3,25.97,Vytautas Vytenis,Varėna,pristatytas,2.99,2019-08-19,15:43,internetu,4
1,49.99,Antanas Antanaitis,Trakai,pristatytas,2.99,2018-12-27,10:8,internetu,4
1,49.99,Asta Astaitė,Mažeikiai,pristatytas,2.99,2019-07-05,8:39,internetu,4
5,80.95,Jolanta Jolantaitė,Kaišiadorys,pristatytas,9.99,2016-02-17,11:16,internetu,5
5,109.95,Gintaras Gintaraitis,Pakruojis,pristatytas,4.99,2020-10-28,13:5,internetu,5
5,65.95,Aurimas Aurimaitė,Širvintos,pristatytas,2.99,2021-05-22,13:56,internetu,5
5,72.95,Aidas Aidaitis,Raseiniai,pristatytas,4.99,2022-06-25,15:59,parduotuvėje,5
2,14.98,Asta Astaitė,Kalvarija,pristatytas,19.99,2017-10-17,9:31,internetu,3
4,80.96,Giedrius Giedraitis,Raseiniai,pristatytas,0.00,2016-07-04,11:17,parduotuvėje,5
2,64.98,Ona Onaitė,Kelmė,pristatytas,19.99,2016-12-13,10:56,internetu,4
5,112.95,Jolanta Jolantaitė,Neringa,pristatytas,4.99,2017-09-30,14:5,internetu,3
1,14.99,Vitalijus Vitkus,Elektrėnai,naujas,9.99,2019-11-25,13:44,internetu,5
5,104.95,Antanas Antanaitis,Kelmė,išsiųstas,9.99,2019-12-09,11:31,internetu,5
3,19.97,Jolanta Jolantaitė,Vilnius,išsiųstas,4.99,2017-02-21,13:47,internetu,5
5,45.95,Vilma Vilmaitė,Kaišiadorys,pristatytas,2.99,2016-12-17,11:10,internetu,3
1,4.99,Bronius Bronius,Zarasai,pristatytas,4.99,2016-11-22,9:26,internetu,5
2,12.98,Jonas Jonaitis,Joniškis,pristatytas,0.00,2019-08-13,10:1,internetu,4
5,84.95,Laima Laimaitė,Kretinga,patvirtintas,19.99,2016-12-08,13:3,internetu,2
1,49.99,Vaida Vaidaitė,Mažeikiai,pristatytas,9.99,2014-11-24,11:10,internetu,5
3,24.97,Aurimas Aurimaitė,Anykščiai,patvirtintas,2.99,2018-11-09,8:17,parduotuvėje,5
4,79.96,Jolanta Jolantaitė,Pabradė,naujas,9.99,2018-03-29,11:8,parduotuvėje,4
2,35.98,Jonas Jonaitis,Elektrėnai,pristatytas,2.99,2022-10-12,9:48,parduotuvėje,2
5,69.95,Vitalijus Vitkus,Vilnius,pristatytas,2.99,2015-07-26,12:44,parduotuvėje,5
5,128.95,Jolanta Jolantaitė,Plungė,atšauktas,2.99,2020-12-21,13:40,internetu,5
1,4.99,Vitalijus Vitkus,Vilnius,pristatytas,19.99,2017-02-27,8:30,parduotuvėje,5
2,34.98,Bronius Bronius,Šilutė,pristatytas,2.99,2018-05-18,8:15,parduotuvėje,2
5,129.95,Gintautas Gintautas,Kaišiadorys,naujas,0.00,2017-07-28,9:37,internetu,3
2,54.98,Vitalijus Vitkus,Kretinga,pristatytas,2.99,2020-05-21,11:11,internetu,5
4,62.96,Kazimieras Kazimieraitis,Pakruojis,pristatytas,2.99,2015-11-06,15:33,parduotuvėje,3
3,69.97,Rimantas Rimantėlis,Šilutė,išsiųstas,0.00,2018-03-12,12:29,internetu,5
2,79.98,Jurgis Jurgis,Radviliškis,pristatytas,2.99,2020-02-15,8:40,internetu,4
1,14.99,Asta Astaitė,Kaišiadorys,pristatytas,19.99,2023-12-19,11:44,internetu,3
1,9.99,Giedrius Giedraitis,Kaišiadorys,išsiųstas,9.99,2022-09-28,11:24,internetu,3
4,82.96,Aldona Aldonaitė,Marijampolė,naujas,2.99,2017-06-29,13:16,internetu,4
5,72.95,Marius Marius,Alytus,pristatytas,2.99,2019-02-19,12:8,internetu,3
5,62.95,Ona Onaitė,Zarasai,pristatytas,2.99,2017-09-02,9:28,parduotuvėje,5
2,20.98,Ona Onaitė,Kaišiadorys,pristatytas,9.99,2021-03-31,12:45,internetu,2
3,39.97,Aurimas Aurimaitė,Kalvarija,pristatytas,2.99,2021-12-22,12:34,internetu,5
1,29.99,Elžbieta Elžbietaitė,Tauragė,pristatytas,2.99,2023-06-01,14:13,internetu,2
2,44.98,Inga Ingaitė,Tauragė,patvirtintas,2.99,2021-02-17,12:6,internetu,5
2,35.98,Jolanta Jolantaitė,Varėna,pristatytas,4.99,2018-04-06,11:42,internetu,4
1,29.99,Kazimieras Kazimieraitis,Ukmergė,pristatytas,2.99,2020-01-29,13:47,internetu,4
3,89.97,Jolanta Jolantaitė,Švenčionys,pristatytas,2.99,2015-06-23,8:22,internetu,2
5,81.95,Vaidas Vaidas,Zarasai,atšauktas,2.99,2019-02-04,9:10,internetu,5
2,19.98,Giedrė Giedrytė,Šalčininkai,pristatytas,2.99,2021-06-19,13:47,parduotuvėje,4
5,80.95,Rimantas Rimantėlis,Zarasai,pristatytas,4.99,2015-04-30,13:53,internetu,1
3,27.97,Rasa Rasaitė,Mažeikiai,pristatytas,9.99,2023-09-28,14:5,parduotuvėje,2
2,19.98,Vitalijus Vitkus,Raseiniai,pristatytas,4.99,2024-06-03,11:12,internetu,5
1,9.99,Rita Ritaitė,Kaišiadorys,atšauktas,9.99,2021-01-17,10:51,parduotuvėje,4
1,29.99,Giedrius Giedraitis,Radviliškis,pristatytas,2.99,2019-08-22,9:49,internetu,5
4,55.96,Rasa Rasaitė,Zarasai,naujas,2.99,2020-01-21,9:27,internetu,4
5,125.95,Inga Ingaitė,Prienai,pristatytas,2.99,2015-09-10,15:43,internetu,5
5,45.95,Aurimas Aurimaitė,Kazlų Rūda,pristatytas,2.99,2018-05-20,14:29,internetu,4
1,4.99,Rimantas Rimantėlis,Šilutė,atšauktas,2.99,2014-11-24,10:44,internetu,5
3,61.97,Marius Marius,Joniškis,pristatytas,19.99,2021-11-24,13:28,internetu,1
3,22.97,Vaida Vaidaitė,Anykščiai,pristatytas,2.99,2015-11-04,15:41,internetu,5
4,45.96,Gintarė Gintarytė,Varėna,pristatytas,2.99,2021-10-10,8:33,parduotuvėje,1
3,69.97,Elžbieta Elžbietaitė,Kalvarija,atšauktas,2.99,2015-12-01,13:15,internetu,3
5,85.95,Kazimieras Kazimieraitis,Zarasai,pristatytas,4.99,2015-07-07,10:55,internetu,2
4,69.96,Ona Onaitė,Grigiškės,pristatytas,9.99,2014-10-08,14:32,internetu,5
5,110.95,Laima Laimaitė,Švenčionys,pristatytas,2.99,2015-11-27,13:44,parduotuvėje,5
3,23.97,Marius Marius,Šilutė,pristatytas,2.99,2017-03-07,11:42,internetu,5
2,54.98,Aurimas Aurimaitė,Palanga,atšauktas,19.99,2022-01-08,15:5,parduotuvėje,5
5,125.95,Vaidas Vaidas,Šalčininkai,pristatytas,0.00,2016-06-21,14:42,parduotuvėje,3
5,63.95,Kazimieras Kazimieraitis,Lazdijai,patvirtintas,0.00,2022-02-28,10:4,internetu,4
2,13.98,Viktorija Viktorienė,Lazdijai,pristatytas,2.99,2019-12-08,14:11,parduotuvėje,5
4,69.96,Asta Astaitė,Kėdainiai,pristatytas,2.99,2019-05-26,10:4,internetu,3
5,60.95,Rita Ritaitė,Zarasai,atšauktas,2.99,2018-01-14,9:38,parduotuvėje,5
1,4.99,Marius Marius,Kupiškis,pristatytas,4.99,2018-08-10,14:30,internetu,5
3,25.97,Jolanta Jolantaitė,Kaišiadorys,pristatytas,2.99,2019-05-14,13:13,internetu,3
6,162.94,Vaidas Vaidas,Kaunas,pristatytas,4.99,2016-12-25,14:16,parduotuvėje,5
3,67.97,Ona Onaitė,Šalčininkai,išsiųstas,2.99,2022-02-26,11:25,parduotuvėje,5
2,11.98,Marius Marius,Kėdainiai,atšauktas,2.99,2020-01-09,11:3,parduotuvėje,4
5,90.95,Giedrius Giedraitis,Zarasai,pristatytas,4.99,2014-12-18,14:7,internetu,1
4,59.96,Vytautas Vytenis,Raseiniai,pristatytas,2.99,2016-05-17,13:12,parduotuvėje,4
5,87.95,Gintarė Gintarytė,Kėdainiai,pristatytas,2.99,2024-03-08,14:8,internetu,5
4,92.96,Vytautas Vytenis,Kybartai,atšauktas,2.99,2021-08-19,12:4,internetu,5
1,5.99,Aidas Aidaitis,Varėna,pristatytas,2.99,2023-09-25,10:49,internetu,5
4,70.96,Ona Onaitė,Širvintos,pristatytas,2.99,2022-03-05,11:57,internetu,2
4,44.96,Vilma Vilmaitė,Ignalina,patvirtintas,2.99,2016-10-12,13:18,internetu,3
1,14.99,Jurgis Jurgis,Vilnius,atšauktas,9.99,2018-09-21,14:19,parduotuvėje,3
2,15.98,Marius Marius,Šilutė,pristatytas,2.99,2023-07-07,14:0,internetu,4
1,29.99,Vitalijus Vitkus,Kaišiadorys,išsiųstas,2.99,2023-10-20,14:41,parduotuvėje,4
1,9.99,Gintautas Gintautas,Kaišiadorys,išsiųstas,0.00,2015-03-02,12:27,parduotuvėje,2
2,34.98,Jonas Jonaitis,Rokiškis,pristatytas,2.99,2022-07-31,11:58,parduotuvėje,2
4,53.96,Jolanta Jolantaitė,Kupiškis,atšauktas,2.99,2020-01-28,14:53,internetu,5
5,60.95,Antanas Antanaitis,Utena,pristatytas,4.99,2023-08-30,8:35,parduotuvėje,2
2,24.98,Jolanta Jolantaitė,Širvintos,atšauktas,9.99,2022-11-18,8:52,parduotuvėje,4
5,79.95,Vaidas Vaidas,Elektrėnai,pristatytas,2.99,2019-01-27,12:41,internetu,3
1,49.99,Aurimas Aurimaitė,Zarasai,pristatytas,0.00,2017-07-16,15:53,internetu,5
4,97.96,Elžbieta Elžbietaitė,Utena,pristatytas,2.99,2022-12-07,9:43,internetu,5
4,39.96,Gintautas Gintautas,Telšiai,patvirtintas,2.99,2018-11-12,10:35,internetu,4
1,9.99,Aurimas Aurimaitė,Zarasai,pristatytas,2.99,2021-02-10,14:11,parduotuvėje,3
5,82.95,Gintaras Gintaraitis,Ignalina,pristatytas,19.99,2023-07-08,9:26,internetu,4
2,99.98,Jolanta Jolantaitė,Druskininkai,pristatytas,4.99,2022-08-22,15:54,internetu,5
5,100.95,Petras Petraitis,Šilutė,pristatytas,0.00,2016-07-06,13:38,internetu,5
3,34.97,Gintarė Gintarytė,Zarasai,pristatytas,2.99,2020-11-25,10:21,internetu,3
1,7.99,Dalia Dalinskaitė,Klaipėda,naujas,2.99,2022-01-31,14:23,parduotuvėje,4
5,74.95,Vitalijus Vitkus,Radviliškis,pristatytas,2.99,2019-03-06,13:20,internetu,3
3,27.97,Vaida Vaidaitė,Kaišiadorys,pristatytas,2.99,2018-11-25,12:13,parduotuvėje,2
4,31.96,Giedrė Giedrytė,Šilutė,pristatytas,9.99,2019-07-27,10:18,internetu,4
4,73.96,Ona Onaitė,Biržai,pristatytas,9.99,2024-03-25,10:43,internetu,4
1,5.99,Petras Petraitis,Vilnius,pristatytas,4.99,2019-06-28,15:57,internetu,4
3,72.97,Viktorija Viktorienė,Kėdainiai,pristatytas,2.99,2016-03-22,10:42,internetu,1
1,4.99,Jolanta Jolantaitė,Zarasai,pristatytas,9.99,2022-07-02,8:9,internetu,4
2,10.98,Asta Astaitė,Kaišiadorys,naujas,19.99,2023-06-11,8:18,internetu,4
3,27.97,Vilma Vilmaitė,Zarasai,pristatytas,9.99,2017-05-26,13:4,parduotuvėje,5
4,36.96,Vytautas Vytenis,Šalčininkai,atšauktas,2.99,2015-01-03,13:32,parduotuvėje,4
4,60.96,Viktorija Viktorienė,Plungė,pristatytas,2.99,2022-04-16,11:8,internetu,5
2,34.98,Giedrė Giedrytė,Panevėžys,pristatytas,2.99,2018-07-31,10:53,internetu,5
2,55.98,Rita Ritaitė,Zarasai,pristatytas,2.99,2020-02-23,13:42,parduotuvėje,1
2,55.98,Jurgis Jurgis,Kaišiadorys,pristatytas,0.00,2024-06-07,15:17,internetu,2
3,24.97,Dalia Dalinskaitė,Anykščiai,naujas,4.99,2022-09-28,12:5,internetu,5
1,9.99,Viktorija Viktorienė,Plungė,pristatytas,2.99,2020-02-12,12:22,internetu,5
1,9.99,Vaida Vaidaitė,Širvintos,pristatytas,4.99,2016-09-30,15:22,internetu,4
4,26.96,Jurgis Jurgis,Kėdainiai,pristatytas,2.99,2022-04-22,9:40,internetu,4
4,97.96,Jolanta Jolantaitė,Šilutė,pristatytas,0.00,2024-06-01,14:4,parduotuvėje,1
1,7.99,Kazimieras Kazimieraitis,Šilutė,pristatytas,9.99,2015-11-02,9:35,internetu,5
4,75.96,Rimantas Rimantėlis,Utena,pristatytas,9.99,2022-08-17,9:10,parduotuvėje,4
2,34.98,Kazimieras Kazimieraitis,Raseiniai,pristatytas,2.99,2022-11-17,14:48,parduotuvėje,4
2,59.98,Aurimas Aurimaitė,Visaginas,pristatytas,9.99,2021-03-28,11:51,parduotuvėje,4
3,84.97,Rimantas Rimantėlis,Telšiai,pristatytas,2.99,2019-10-27,9:24,internetu,5
3,50.97,Aurimas Aurimaitė,Telšiai,pristatytas,2.99,2021-05-30,10:49,parduotuvėje,5
1,49.99,Gintautas Gintautas,Zarasai,pristatytas,0.00,2017-02-14,12:40,internetu,2
5,105.95,Jolanta Jolantaitė,Šilutė,pristatytas,19.99,2019-08-31,14:5,parduotuvėje,4
2,55.98,Inga Ingaitė,Ukmergė,išsiųstas,2.99,2018-06-07,11:56,internetu,5
4,34.96,Marius Marius,Pakruojis,pristatytas,0.00,2021-05-02,9:27,parduotuvėje,5
3,23.97,Inga Ingaitė,Raseiniai,pristatytas,2.99,2023-08-26,10:53,parduotuvėje,3
3,15.97,Aurimas Aurimaitė,Rokiškis,pristatytas,0.00,2015-05-29,8:9,internetu,1
4,119.96,Asta Astaitė,Kybartai,pristatytas,4.99,2018-01-26,10:54,internetu,4
3,94.97,Inga Ingaitė,Kėdainiai,pristatytas,2.99,2023-06-24,14:44,internetu,4
2,79.98,Gintaras Gintaraitis,Kazlų Rūda,patvirtintas,2.99,2019-03-04,9:51,parduotuvėje,4
3,69.97,Vaidas Vaidas,Varėna,pristatytas,4.99,2022-04-20,9:9,internetu,4
3,62.97,Jurgis Jurgis,Radviliškis,pristatytas,2.99,2016-04-11,15:36,internetu,5
4,60.96,Jolanta Jolantaitė,Jonava,pristatytas,4.99,2018-03-18,8:42,internetu,4
5,84.95,Antanas Antanaitis,Ukmergė,išsiųstas,2.99,2019-12-19,8:27,internetu,3
5,137.95,Asta Astaitė,Zarasai,pristatytas,2.99,2015-04-05,12:10,parduotuvėje,5
2,19.98,Ona Onaitė,Biržai,pristatytas,2.99,2023-07-20,9:41,internetu,5
